id,review
1,"The product quality is excellent and I am very happy with it"
2,"I am extremely disappointed with the poor customer service"
3,"The app is easy to use but it sometimes freezes"
4,"Customer support resolved my issue quickly and politely"
5,"This is the worst experience I have ever had with any service"
6,"I feel happy and satisfied after using this application"
7,"The delivery was late and that made me very angry"
8,"Great performance and smooth interface, totally worth it"
9,"I am worried about the security of my personal data"
10,"The interface looks okay but could be improved"
